iter	Passed	Remaining
411	4008	5720
412	4018	5710
413	4027	5701
414	4036	5690
415	4047	5681
416	4057	5672
417	4067	5662
418	4076	5652
419	4085	5641
420	4094	5631
421	4104	5621
422	4113	5611
423	4123	5602
424	4134	5593
425	4144	5584
426	4154	5575
427	4164	5565
428	4173	5555
429	4183	5545
430	4191	5534
431	4200	5523
432	4209	5512
433	4219	5502
434	4228	5492
435	4237	5480
436	4245	5470
437	4254	5459
438	4263	5448
439	4272	5437
440	4281	5427
441	4290	5416
442	4299	5406
443	4309	5396
444	4318	5385
445	4327	5375
446	4337	5366
447	4347	5356
448	4358	5348
449	4368	5338
450	4376	5327
451	4386	5317
452	4394	5306
453	4404	5297
454	4414	5287
455	4422	5276
456	4431	5265
457	4441	5256
458	4450	5245
459	4460	5235
460	4469	5225
461	4478	5214
462	4487	5205
463	4498	5195
464	4507	5185
465	4516	5175
466	4525	5165
467	4534	5155
468	4544	5144
469	4553	5135
470	4564	5126
471	4573	5116
472	4583	5106
473	4592	5096
474	4602	5086
475	4611	5077
476	4621	5067
477	4630	5056
478	4640	5047
479	4648	5036
480	4658	5026
481	4667	5015
482	4676	5005
483	4686	4996
484	4694	4984
485	4704	4975
486	4714	4965
487	4723	4955
488	4732	4945
489	4741	4935
490	4752	4926
491	4762	4917
492	4773	4908
493	4781	4898
494	4792	4889
495	4802	4879
496	4811	4869
497	4820	4859
498	4830	4849
499	4839	4839
500	4849	4829
501	4857	4819
502	4866	4808
503	4876	4798
504	4885	4788
505	4895	4779
506	4905	4769
507	4914	4760
508	4924	4750
509	4934	4741
510	4944	4732
511	4954	4722
512	4964	4712
513	4973	4702
514	4982	4692
515	4992	4682
516	5001	4672
517	5010	4662
518	5019	4652
519	5028	4641
520	5038	4631
521	5047	4621
522	5056	4611
523	5065	4601
524	5074	4591
525	5083	4581
526	5093	4571
527	5103	4561
528	5112	4551
529	5121	4541
530	5130	4531
531	5140	4522
532	5151	4513
533	5161	4503
534	5171	4494
535	5181	4485
536	5191	4475
537	5200	4465
538	5209	4455
539	5218	4445
540	5228	4435
541	5238	4426
542	5248	4416
543	5257	4406
544	5266	4396
545	5276	4387
546	5285	4377
547	5294	4367
548	5304	4357
549	5313	4347
550	5322	4337
551	5332	4327
552	5341	4317
553	5350	4307
554	5361	4298
555	5371	4289
556	5381	4280
557	5390	4269
558	5399	4259
559	5409	4250
560	5417	4239
561	5427	4229
562	5436	4219
563	5446	4210
564	5455	4200
565	5464	4189
566	5474	4180
567	5484	4171
568	5493	4161
569	5503	4151
570	5513	4142
571	5522	4131
572	5531	4121
573	5541	4112
574	5550	4102
575	5560	4093
576	5570	4083
577	5579	4073
578	5588	4063
579	5597	4053
580	5606	4043
581	5615	4033
582	5624	4023
583	5634	4013
584	5643	4003
585	5652	3993
586	5662	3983
587	5671	3973
588	5679	3963
589	5688	3953
590	5698	3943
591	5707	3933
592	5716	3923
593	5725	3913
594	5735	3904
595	5744	3893
596	5754	3884
597	5765	3875
598	5774	3865
599	5783	3855
600	5793	3846
601	5803	3836
602	5812	3826
603	5821	3816
604	5831	3807
605	5841	3797
606	5850	3787
607	5860	3778
608	5869	3768
609	5878	3758
610	5887	3748
611	5896	3738
612	5905	3728
613	5914	3718
614	5923	3708
615	5933	3698
616	5943	3689
617	5952	3679
618	5962	3670
619	5972	3660
620	5982	3651
621	5992	3641
622	6001	3631
623	6010	3621
624	6019	3611
625	6029	3602
626	6038	3591
627	6047	3582
628	6056	3572
629	6065	3562
630	6075	3552
631	6085	3543
632	6094	3533
633	6103	3523
634	6112	3513
635	6120	3503
636	6130	3493
637	6139	3483
638	6148	3473
639	6158	3464
640	6166	3453
641	6175	3443
642	6184	3433
643	6193	3423
644	6203	3414
645	6211	3403
646	6221	3394
647	6229	3384
648	6239	3374
649	6248	3364
650	6257	3354
651	6266	3344
652	6276	3335
653	6285	3325
654	6294	3315
655	6303	3305
656	6313	3295
657	6322	3285
658	6330	3275
659	6340	3266
660	6349	3256
661	6359	3246
662	6369	3237
663	6379	3228
664	6388	3218
