iter	RMSE
134	3.548096894
135	3.541740766
136	3.530056142
137	3.523208696
138	3.51494104
139	3.510990683
140	3.502436114
141	3.498652943
142	3.491813057
143	3.484487173
144	3.482023255
145	3.470129739
146	3.457387422
147	3.449990222
148	3.445784346
149	3.429298613
150	3.405505549
151	3.402035462
152	3.398877401
153	3.390012447
154	3.383540691
155	3.378934472
156	3.376353932
157	3.371152922
158	3.364861742
159	3.360193052
160	3.354719139
161	3.345302473
162	3.337955692
163	3.328699513
164	3.323319001
165	3.31996835
166	3.31697649
167	3.306086593
168	3.299759509
169	3.293450286
170	3.289141373
171	3.284461795
172	3.282130932
173	3.274692529
174	3.271455139
175	3.267117488
176	3.2647057
177	3.259634289
178	3.254363924
179	3.251795914
180	3.245214498
181	3.232127742
182	3.224639308
183	3.220170296
184	3.217968458
185	3.2123538
186	3.209028816
187	3.206941865
188	3.204280967
189	3.200529493
190	3.195059466
191	3.189560728
192	3.1800227
193	3.174354377
194	3.169920529
195	3.167185131
196	3.164139305
197	3.161727907
198	3.159629387
199	3.157359108
200	3.152175386
201	3.148820021
202	3.143484791
203	3.141339611
204	3.136810612
205	3.129023213
206	3.126467424
207	3.122660348
208	3.116704353
209	3.115129799
210	3.112655069
211	3.109772396
212	3.106044345
213	3.096384671
214	3.087482237
215	3.084437008
216	3.079370015
217	3.072096345
218	3.070592536
219	3.069116205
220	3.065946381
221	3.062345631
222	3.041912445
223	3.039747999
224	3.036572488
225	3.031766683
226	3.02960237
227	3.026753231
228	3.018297928
229	3.014003216
230	3.011593834
231	3.006690695
232	3.004229327
233	2.997259953
234	2.993163212
235	2.990305391
236	2.987338183
237	2.985408034
238	2.981641558
239	2.980335374
240	2.979382925
241	2.974353852
242	2.971142533
243	2.969679814
244	2.96880317
245	2.963294981
246	2.961361981
247	2.959723183
248	2.954712385
249	2.950630028
250	2.944363013
251	2.942315345
252	2.932734329
253	2.930568968
254	2.925936041
255	2.925092145
256	2.924130725
257	2.921972002
258	2.920621328
259	2.919074932
260	2.916716043
261	2.915246227
262	2.910817513
263	2.909846651
264	2.906670762
265	2.905499586
266	2.902814261
267	2.900675327
268	2.897534375
269	2.889308014
270	2.887031426
271	2.872103322
272	2.862099306
273	2.859694341
274	2.858213668
275	2.854588362
276	2.852944839
277	2.851543166
278	2.848674189
279	2.841913035
280	2.839899208
281	2.83784663
282	2.835143888
283	2.827843597
284	2.822819983
285	2.819347586
286	2.818689757
287	2.816844373
288	2.813824305
289	2.811869102
290	2.807130547
291	2.80368947
292	2.802890239
293	2.801488641
294	2.798255922
295	2.795237876
296	2.788331504
297	2.785635222
298	2.78374484
299	2.782761239
300	2.781342611
301	2.779972088
302	2.779067232
303	2.775314344
304	2.772954688
305	2.769184636
306	2.768398386
307	2.76624467
308	2.764142293
309	2.763140803
310	2.760869869
311	2.76030407
312	2.759834082
313	2.754234738
314	2.748506298
315	2.746034751
316	2.741435631
317	2.739772753
318	2.736379852
319	2.734125391
320	2.731898027
321	2.721291698
322	2.718214847
323	2.716680454
324	2.714991062
325	2.714443117
326	2.710433508
327	2.706039987
328	2.704709463
329	2.698905296
330	2.698091413
331	2.696292902
332	2.694558609
333	2.692368757
334	2.689813071
335	2.687675049
336	2.684909938
337	2.684306697
338	2.679151976
339	2.670693901
340	2.66943779
341	2.668553447
342	2.667785291
343	2.666632229
344	2.665327927
345	2.664026668
346	2.658719876
347	2.655654478
348	2.652107659
349	2.649451822
350	2.648292455
351	2.647197
352	2.646753463
353	2.639875382
354	2.637903616
355	2.636852966
356	2.635446422
357	2.632247683
358	2.631055173
359	2.630147145
360	2.628516972
361	2.626752051
362	2.623053398
363	2.618980261
364	2.617937798
365	2.616737245
366	2.615273899
367	2.610756481
368	2.60521258
369	2.602971289
370	2.601871307
371	2.600856147
372	2.597091387
373	2.594060173
374	2.592229326
375	2.590629491
376	2.589360609
377	2.58775669
378	2.583450587
379	2.582192416
380	2.580725916
381	2.579779024
382	2.577991186
383	2.576536412
384	2.571955175
385	2.570272922
386	2.569420583
387	2.56883537
388	2.567523739
389	2.56575963
390	2.564941067
391	2.562538707
392	2.561123528
393	2.558414359
394	2.555058943
395	2.550506839
396	2.54741917
397	2.54295558
398	2.541634899
399	2.540386212
400	2.538556108
401	2.537602617
402	2.53640759
403	2.535526562
404	2.534430335
405	2.533904433
406	2.533037843
407	2.532448491
408	2.531615729
409	2.530945875
410	2.529718903
411	2.529192909
412	2.528309009
413	2.526516072
414	2.525567266
415	2.524275721
416	2.5216221
417	2.519243401
418	2.51807751
419	2.517501586
420	2.51571949
421	2.513921156
422	2.513009085
423	2.512180806
424	2.510037324
425	2.506770861
426	2.505442473
427	2.503908137
428	2.503120166
429	2.501893685
430	2.501475904
431	2.499664162
432	2.494240547
433	2.492869008
434	2.491418018
435	2.490181723
436	2.488087037
437	2.487133302
438	2.486552784
439	2.48608686
440	2.484167089
441	2.483096084
442	2.480452753
443	2.478545549
444	2.477410829
445	2.477052993
446	2.476635579
447	2.475966477
448	2.475458088
449	2.474561218
450	2.473693925
451	2.472815768
452	2.469248052
453	2.46733126
454	2.466710454
455	2.46473715
456	2.463699859
457	2.462782449
458	2.462243416
459	2.46012939
460	2.458835366
461	2.457483642
462	2.456583767
463	2.454803211
464	2.448715031
465	2.446921946
466	2.445346515
467	2.444879175
468	2.444104357
469	2.44339538
470	2.441585378
471	2.439830352
472	2.439117053
473	2.438137301
474	2.436624168
475	2.436245531
476	2.431919803
477	2.43130621
478	2.430367731
479	2.429269349
480	2.428645118
481	2.428125719
482	2.425917463
483	2.424910614
484	2.424302832
485	2.417465381
486	2.414573912
487	2.413511567
488	2.411967793
489	2.410036511
490	2.409684421
491	2.408409738
492	2.407484008
493	2.40715198
494	2.404600678
495	2.402220194
496	2.399635703
497	2.398530792
498	2.397344114
499	2.396462862
500	2.395647268
501	2.394488234
502	2.394004447
503	2.392575415
504	2.392163167
505	2.39159832
506	2.390827943
507	2.390319027
508	2.389824892
509	2.389160636
510	2.388319088
511	2.387237928
512	2.386746472
513	2.384018392
514	2.383245024
515	2.382506216
516	2.38180274
517	2.381352863
518	2.380300752
519	2.379642771
520	2.378749335
521	2.376713764
522	2.375666899
523	2.374689595
524	2.369560971
525	2.367424639
526	2.365962199
527	2.365551613
528	2.363082872
529	2.361084025
530	2.360300941
531	2.358977919
532	2.358313055
533	2.357545951
534	2.357050699
535	2.356176668
536	2.355682314
537	2.35324265
538	2.35144181
539	2.348499494
540	2.345038556
541	2.343907219
542	2.342140805
543	2.341170743
544	2.340450253
545	2.335561532
546	2.335043472
547	2.334317766
548	2.333553554
549	2.331445322
550	2.330900811
551	2.33019062
552	2.328205584
553	2.327620926
554	2.32711909
555	2.326620436
556	2.326210262
557	2.325213283
558	2.324969144
559	2.324521749
560	2.323184698
561	2.32052866
562	2.318669217
563	2.31799976
564	2.316238685
565	2.315734801
566	2.315344317
567	2.314288163
568	2.313578678
569	2.312798731
570	2.310742978
571	2.309382207
572	2.308909563
573	2.308355615
574	2.307944759
575	2.306627638
576	2.305862947
577	2.3055674
578	2.304380121
579	2.303803697
580	2.30275235
581	2.301006124
582	2.300801785
583	2.299955549
584	2.299543323
585	2.299085423
586	2.298583136
587	2.29771995
588	2.297266907
589	2.296175486
590	2.295188948
591	2.29433888
592	2.292732923
593	2.292383707
594	2.29199735
595	2.29175949
596	2.290210005
597	2.288319505
598	2.287344289
599	2.286702053
600	2.286459102
601	2.284281001
602	2.284146931
603	2.282377188
604	2.282041971
605	2.280888379
606	2.28063026
607	2.280290686
608	2.278255051
609	2.277594161
610	2.276672043
611	2.274807117
612	2.273529815
613	2.272465325
614	2.271793353
615	2.271233298
616	2.270743268
617	2.270078186
618	2.269411543
619	2.268000675
620	2.267633304
621	2.266434844
622	2.265185978
623	2.264654341
624	2.264254267
625	2.263365652
626	2.262923469
627	2.26270142
628	2.261932153
629	2.260251832
630	2.259975323
631	2.258747823
632	2.258222258
633	2.257201296
634	2.256911744
635	2.256029364
636	2.254746683
637	2.253810753
638	2.253540389
639	2.253269987
640	2.253256394
641	2.253070764
642	2.25018606
643	2.249786097
644	2.248105689
645	2.247436845
646	2.246982727
647	2.246727471
648	2.246086778
649	2.245699185
650	2.243572185
651	2.241917349
652	2.241360018
653	2.240638019
654	2.239974756
655	2.239796282
656	2.237309182
657	2.236590218
658	2.235664344
659	2.235278769
660	2.234978791
661	2.234203803
662	2.233791441
663	2.233466438
664	2.233225178
665	2.230124496
666	2.227348464
667	2.225857327
668	2.225177503
669	2.224067721
670	2.223697416
671	2.223001523
672	2.221961331
673	2.221767723
674	2.220653919
675	2.219866876
676	2.21872422
677	2.217850672
678	2.217642989
679	2.21728444
680	2.21683418
681	2.215648952
682	2.213974107
683	2.213273035
684	2.213164088
685	2.211560018
686	2.21007951
687	2.209725194
688	2.209335086
689	2.209094838
690	2.20848618
691	2.20786805
692	2.20469581
693	2.203161499
694	2.20260135
695	2.202318374
696	2.201424173
697	2.201078001
698	2.200667763
699	2.200110716
700	2.199789151
701	2.198915072
702	2.198495566
703	2.19820331
704	2.197557284
705	2.197094973
706	2.196804009
707	2.195229927
708	2.194586535
709	2.194185391
710	2.193639642
711	2.193221688
712	2.192717726
713	2.192185414
714	2.19185233
715	2.188806929
716	2.188352149
717	2.187754975
718	2.187302955
719	2.186382502
720	2.185990261
721	2.184909704
722	2.18306876
723	2.182364507
724	2.181916121
725	2.18115475
726	2.180357812
727	2.179968236
728	2.179457686
729	2.178400796
730	2.178047804
731	2.177588179
732	2.177366257
733	2.176753024
734	2.176418919
735	2.176192892
736	2.175959575
737	2.17560761
738	2.175288734
739	2.17479372
740	2.174446712
741	2.174212149
742	2.17364984
743	2.173114789
744	2.172816956
745	2.171967158
746	2.171440857
747	2.170804315
748	2.170270117
749	2.168744014
750	2.168555811
751	2.168143116
752	2.167460127
753	2.166808461
754	2.165981528
755	2.164877946
756	2.164676911
757	2.164187306
758	2.163561167
759	2.163237058
760	2.162980254
761	2.162439836
762	2.161115978
763	2.159794828
764	2.159496205
765	2.159354727
766	2.15868744
767	2.158394205
768	2.157561247
769	2.157345022
770	2.156804134
771	2.156579066
772	2.156330496
773	2.1554473
774	2.154989151
775	2.154671484
776	2.154417907
777	2.153930255
778	2.153480758
779	2.15271532
780	2.152711798
781	2.152192535
782	2.151903285
783	2.151713757
784	2.151559821
785	2.15082975
786	2.150286186
787	2.150052672
788	2.149555353
789	2.149501796
790	2.148818104
791	2.1484721
792	2.147581297
793	2.147430723
794	2.146820719
795	2.14629374
796	2.146234584
797	2.145716485
798	2.14545853
799	2.144773183
800	2.144575795
801	2.144409256
802	2.143132371
803	2.142755237
804	2.141829118
805	2.141232836
806	2.140494115
807	2.140034948
808	2.1393174
809	2.138752718
810	2.137752145
811	2.137263085
812	2.136837824
813	2.136386947
814	2.136196694
815	2.135973875
816	2.13560885
817	2.134625582
818	2.133846307
819	2.133499128
820	2.132688386
821	2.132429387
822	2.131732814
823	2.130963827
824	2.130708176
825	2.130230364
826	2.129852847
827	2.129301765
828	2.128952959
829	2.128536003
830	2.128405663
831	2.128263746
832	2.128106227
833	2.124306674
834	2.123280819
835	2.122616542
836	2.121994928
837	2.120824198
838	2.12065429
839	2.120507169
840	2.120220747
841	2.119642234
842	2.119435452
843	2.118915762
844	2.118543011
845	2.118405537
846	2.118217442
847	2.117738726
848	2.117374287
849	2.11696494
850	2.116699013
851	2.115829546
852	2.115473835
853	2.115287569
854	2.114354322
855	2.114123687
856	2.11359686
857	2.112910075
858	2.112766622
859	2.112491674
860	2.11236099
861	2.111554777
862	2.111233445
863	2.110888114
864	2.110566624
865	2.109037972
866	2.108791797
867	2.10804705
868	2.107351854
869	2.107172982
870	2.106779219
871	2.106565168
872	2.10600128
873	2.105458102
874	2.104628613
875	2.104458292
876	2.104259547
877	2.103925797
878	2.103502744
879	2.102879643
880	2.102398661
881	2.10195938
882	2.101760087
883	2.101272011
884	2.100989964
885	2.100543809
886	2.09730463
887	2.096890076
888	2.096674047
889	2.096333524
890	2.096147589
891	2.09560862
892	2.094927289
893	2.094504598
894	2.093722352
895	2.093530064
896	2.093063121
897	2.0919117
898	2.091773205
899	2.091561764
900	2.091288104
901	2.091116381
902	2.090627451
903	2.090506454
904	2.086478865
905	2.086054504
906	2.08433403
907	2.084018153
908	2.083815649
909	2.083594018
910	2.083104361
911	2.082935246
912	2.082781218
913	2.082672979
914	2.08216055
915	2.08172284
916	2.081489487
917	2.08075125
918	2.080457075
919	2.080216688
920	2.080053491
921	2.079808689
922	2.079311273
923	2.078846869
924	2.078283361
925	2.077879044
926	2.077612488
927	2.077306549
928	2.077060551
929	2.076456971
930	2.076237193
931	2.076092663
932	2.075700194
933	2.075213586
934	2.07514146
935	2.074758767
936	2.074484584
937	2.073611937
938	2.073184917
939	2.072761771
940	2.071117122
941	2.070904422
942	2.070732494
943	2.070347059
944	2.070203344
945	2.069779048
946	2.069321956
947	2.069104531
948	2.06849172
949	2.067592592
950	2.067438578
951	2.067140265
952	2.066861486
953	2.065934728
954	2.064845759
955	2.064030213
956	2.06374668
957	2.06333986
958	2.06287757
959	2.062780468
960	2.062608556
961	2.062104554
962	2.061436984
963	2.061265074
964	2.060398532
965	2.060151395
966	2.059696513
967	2.059544184
968	2.058999907
969	2.058403895
970	2.058204962
971	2.057965584
972	2.057889778
973	2.057440265
974	2.057333597
975	2.056685391
976	2.056140445
977	2.056001503
978	2.055682997
979	2.054621155
980	2.054304047
981	2.054130238
982	2.054031983
983	2.053664082
984	2.053446989
985	2.052954057
986	2.051655873
987	2.051563166
988	2.051158722
989	2.050796673
990	2.050597267
991	2.05034167
992	2.050092137
993	2.049501458
994	2.048539499
995	2.048104237
996	2.047493734
997	2.046984578
998	2.046019722
999	2.045823631
